,title,d23_link,summary
981,"Island at the Top of the World, The",a-to-z/island-at-the-top-of-the-world-the-film/,"In 1907, a wealthy Englishman, Sir Anthony, commands a giant airship as it searches the Arctic for his missing son. The only clues they have are a page from an old Hudson's Bay Company journal mentioning a hidden island ""far beyond land's end where the whales go to die, "" and a curious map of carved whalebone. The crew discover a volcanic Nordic island, a fabled whales' graveyard, and encounter Viking warriors who are far from friendly. Sir Anthony is reunited with his son Donald whose sweetheart, Freyja, helps them escape a death decree. Recaptured after a battle with killer whales, the fugitives are finally given their freedom in exchange for an American professor remaining behind as hostage. Premiered on December 16, 1974 in England; U.S. release on December 20, 1974. Directed by Robert Stevenson. 94 min. Stars David Hartman (Prof. Ivarsson), Donald Sinden (Sir Anthony Ross), Jacques Marin (Capt. Brieux), Mako (Oomiak), David Gwillim (Donald Ross), Agneta Eckemyr (Freyja), Gunnar Ohlund (The Godi), Lasse Kolstad (Erik), Niels Hinrichsen (Sigurd), Brendan Dillon (The Factor). Based on The Lost Ones by Ian Cameron. With music composed by Maurice Jarre and spectacular special effects by Peter Ellenshaw, Art Cruickshank and Danny Lee, this lavish film was filmed on locations spanning the Arctic Circle from Alaska to Greenland to Norway. The large budget allowed creation of the airship Hyperion, a 220-foot motor-driven tapered dirigible; a complete Viking village with a temple of lava rock; 850 feet of coconut-fiber rope, handmade in Egypt, to hold up a suspension bridge; and a Viking longship to be used on location in Balestrand, Norway. The film was not a box office success, but was nominated for an Academy Award for Art Direction/Set Direction by Peter Ellenshaw, John B. Mansbridge, Walter Tyler, Al Roelofs, and Hal Gausman. Released on video in 1983 and 1994."
982,Islands of the Sea,a-to-z/islands-of-the-sea-film/,"Documentary featurette; released on March 16, 1960. Produced by Ben Sharpsteen. A nature film concentrating on the strange and wonderful birds, beasts, and fish found in and around the least known islands of the world. Included are the Galapagos, the Guadalupes, the Falklands, and the tiny islands and atolls of the Midway group. 28 min. Nominated for an Academy Award."
983,It Runs in the Family,a-to-z/it-runs-in-the-family-film/,"Buena Vista International handled the foreign distribution and MGM the domestic distribution of this film from Further Films. Three generations of an American family, living separate lives, each in its own dysfuctional way, comes together every once in awhile to laugh, to fight, to cry, and to care for each other. Directed by Frank Schepisi. U.S. release on April 25, 2003. Stars Michael Douglas (Alex Gromberg), Kirk Douglas (Mitchell Gromberg), Bernadette Peters (Rebecca), Diana Douglas (Evelyn), Cameron Douglas (Asher), Rory Culkin (Eli). Kirk Douglas is Michael's father, Diana Douglas his mother, and Cameron Douglas his son. Michael produced the film, with his brother, Joel, as co-producer."
984,It's Not My Fault,a-to-z/its-not-my-fault-film/,"Educational release in 16mm in August 1991, 18 min. An 11-year-old boy seems to be disagreeing with everyone, but he learns to communicate his feelings and listen to those of others."
985,It's Pat,a-to-z/its-pat-film/,"The androgynous, pudgy, and obnoxious Pat, from Saturday Night Live, baffles friends and neighbors alike, who cannot decide if Pat is male or female. Pat has a relationship with Chris, a kindly bartender who, with his hippie clothing and hair, is also sexually ambiguous. When handsome neighbor, Kyle, a married but uptight young man, becomes inexplicably obsessed with Pat, he comes to wonder if he is gay or straight. But, basically, it's Pat who is Pat's most devoted admirer. Limited release on August 26, 1994. Directed by Adam Bernstein. A Touchstone film. 78 min. Stars Julia Sweeney (Pat), David Foley (Chris), Charles Rocket (Kyle). Julia Sweeney developed the Pat character at the Los Angeles comedy troupe known as The Groundlings. Filmed in and around Los Angeles, California. Released on video in 1995."
986,It's Tough to Be a Bird,a-to-z/its-tough-to-be-a-bird-film/,"Special live-action and cartoon featurette; released on December 10, 1969. Directed by Ward Kimball. The story is told of the bird's contribution to mankind and his never-ending fight for survival from prehistoric times to the present. There are humorous moments throughout, and even the buzzard is honored in the epic struggle that still continues between humans and birds. This popular short received the Academy Award as Best Cartoon Short Subject of 1969. The film is hosted by M.C. Bird voiced by Richard Bakalyan, and features many highlights, including a hilarious musical number by Ruth Buzzi entitled ""When The Buzzards Return to Hinckley Ridge."" 22 min. An extended version aired on television on December 13, 1970. Released on video in 1986."
987,It's Tough to Be a Bug!,a-to-z/its-tough-to-be-a-bug-film/,"A multi-media production for a 450-seat theater underneath the Tree of Life at Disney's Animal Kingdom, featuring 3-D film, Audio-Animatronics, and special effects that provide an amusing look at a bug's world. Opened on Apr. 22, 1998. The attraction, minus the tree, opened also at Disney California Adventure on Feb. 8, 2001. The California version closed Mar. 19, 2018."
988,Italia '61,a-to-z/italia-61-film/,"Circarama film prepared in 1961 for the Italia '61 Exposition in Turin, under sponsorship of Fiat; features a tour of Italy with spectacular views of the harbor at Genoa, and Mount Vesuvius. The Italian film crew was taught use of the cameras by Don Iwerks, son of Disney animator and special effects magician Ub Iwerks."
989,Jack,a-to-z/jack-film/,"Jack Powell appears to be an average, middle-aged 40-year-old man-who plays with toys and wears kid's pajamas. But Jack is only ten years old. He suffers from a rare genetic disorder that causes him to physically age four times faster than a normal person. Fearing ridicule from the outside world, Jack's parents have kept him secluded in their home, which they have stocked with every toy a young boy could want, and have had him taught by a kindly tutor, Mr. Woodruff. Toys, however, cannot take the place of the real friends that Jack craves. At the urging of his tutor, his parents finally allow him to embark on the greatest adventure of his unusual life-entering the fifth grade. Slowly he gains acceptance from his much smaller classmates, especially after showing his prowess with basketball. Years later, as they graduate from high school, Jack is still a beloved part of the gang, but he is now an elderly man. A Hollywood picture. Directed by Francis Ford Coppola. Released on August 9, 1996. Stars Robin Williams (Jack Powell), Diane Lane (Karen Powell), Jennifer Lopez (Ms. Marquez), Brian Kerwin (Brian Powell), Fran Drescher (Dolores Durante), Bill Cosby (Lawrence Woodruff). 113 min. The picturesque town of Ross, California, provided some of the town sets; additional filming was done in San Francisco. Many of the interiors were built at the Mare Island Naval Base in Vallejo. Released on video in 1997."
990,Jack and Old Mac,a-to-z/jack-and-old-mac-film/,"Special cartoon; released on July 18, 1956. Directed by Bill Justice. A combination of two stories: the nursery rhyme ""This Is the House that Jack Built"" and a variation on the children's song ""Old MacDonald Had a Farm, "" with ""Farm"" paraphrased as ""Band."""
991,Jack and the Beanstalk,a-to-z/jack-and-the-beanstalk-film/,"Laugh-O-gram film made by Walt Disney in Kansas City in 1922. A later version starring Mickey Mouse, Mickey and the Beanstalk, appeared in the feature Fun and Fancy Free."
992,Jack the Giant Killer,a-to-z/jack-the-giant-killer-film/,"Short cartoon, a modernized version of the story, made by Laugh-O-gram Films in 1922. A boy, with his girl friend and cat, travel to a land of giants, where Jack destroys four of them. This a separate film from Jack and the Beanstalk, also made by Laugh-O-gram."
993,Jack-Jack Attack,a-to-z/jack-jack-attack-film/,"Animated short from Pixar which appeared first on the DVD for The Incredibles; released on March 15, 2005. Jack-Jack, the baby of the superhero family, is at home with babysitter Kari while the family is away, and the toddler reveals his latent powers."
994,James and the Giant Peach,a-to-z/james-and-the-giant-peach-film/,"Nine-year-old James Henry Trotter, a young orphan, has been sent to live with his wicked, miserly aunts Spiker and Sponge. Life is the pits for the lonely boy, who dreams of going to New York City. He finally gets his chance when he meets a mysterious hobo who presents him with a bag of magical ""crocodile tongues."" Accidentally spilling his precious treasure at the base of a peach tree, James is astonished to see a peach on the tree grow to an enormous size. Finding a secret entryway into the peach, he crawls inside where he meets a wondrous group of human-sized insects-including a brash centipede, a grandfatherly grasshopper, a motherly ladybug, and a dotty glowworm. When the peach breaks loose from the tree, James and his insect pals find themselves on a roll, headed for the adventure of a lifetime. Directed by Henry Selick. Released on April 12, 1996. Stars Miriam Margolyes (Sponge, Glowworm), Joanna Lumley (Spiker), Paul Terry (James), Pete Postlethwaite (old man), and the voices of Richard Dreyfuss (Centipede), Susan Sarandon (Miss Spider), Jane Leeves (Lady Bug), David Thewlis (Earthworm), Simon Callow (Grasshopper). 79 min. Based on the 1961 book by Roald Dahl. Five songs were written by Randy Newman: ""My Name Is James,"" ""That's the Life, "" ""Eating the Peach,"" ""We're Family, "" and ""Good News."" Newman himself is the vocalist on the last song. The fantasy scenes were filmed using stop-motion animation enhanced by computer-generated imagery and digital effects. Live-action photography took place in a large hangar at a decommissioned naval base on Treasure Island in San Francisco Bay and at nearby Hunter's Point. The animation was done at Skellington Productions in San Francisco, the same studio where The Nightmare Before Christmas had been produced, and it utilized some of the same crew. In the underwater sequence, one can even find a cameo appearance by Jack Skellington from the earlier film. More than 50 peaches were constructed for the film, ranging in size from three-inch miniatures up to 20-foot diameter jumbos. Two granddaughters of Roald Dahl, children of his daughter, Lucy, appear briefly as extras in the film. Lucy wrote the movie scrapbook, published by Disney Press and illustrated with her own photographs. Released on video in 1996."
995,"Jamie Fort Story, The (A Story About Self-Esteem)",a-to-z/jamie-fort-story-the-a-story-about-self-esteem-film/,Educational film about a fire victim who discovers the power of determination and a positive attitude; released in September 1988. 30 min.
996,Jane Austen's Mafia!,a-to-z/jane-austens-mafia-film/,"This parody of films about organized crime begins with young Vincenzo Cortino forced to leave Sicily and swim to America, where he becomes the infamous, though clutzy, patriarch of a powerful crime family. As he ages, he realizes that he will have to hand the reins of power to one of his sons-either the psychotic Joey or the war hero Anthony. In the background are the themes of strong family loyalty, the struggle for power, and relentless treachery. Directed by Jim Abrahams. A Touchstone picture. Released on July 24, 1998. Stars Lloyd Bridges (Vincenzo Cortino), Jay Mohr (Anthony), Olympia Dukakis (Sophia), Christina Applegate (Diane), Billy Burke (Joey). 87 min. The movie covers the years from 1912 to the present, filmed in and around Los Angeles, and in Reno, Nevada. Advertised as Mafia, after initial research showed most theatergoers had never heard of Jane Austen. Released on video in 1999."
997,Japan,a-to-z/japan-film/,"People and Places featurette; released on April 6, 1960. Produced by Ben Sharpsteen. This is the story of colorful Japanese customs and manners of the past, and their contrast with present-day Japan. We see ancient farming customs, agricultural ceremonies, ancestor worship, schoolteaching, marriage customs, sports, all against the background of beautiful Japan. Filmed in CinemaScope. 28 min."
998,Japan Harvests the Sea,a-to-z/japan-harvests-the-sea-film/,Sixteen mm release title of Ama Girls; released in September 1961.
999,"Jazz Fool, The",a-to-z/jazz-fool-the-film/,"Mickey Mouse cartoon; released in 1929. Directed by Walt Disney. Mickey appears to be the toast of this musical cartoon, playing a calliope and a piano to which other animals can dance until the piano begins to chase him."
1000,Jefferson in Paris,a-to-z/jefferson-in-paris-film/,"Historical drama about Thomas Jefferson's five years, 1784 to 1789, in romantic, politically-charged, prerevolutionary Paris, where he was originally appointed by the Continental Congress to assist Benjamin Franklin as minister to the court of King Louis XVI but later took over the post when Franklin returned to America. While in Paris, Jefferson, who has recently lost his wife, enters into a love affair with a beautiful Anglo-Italian painter and musician, Maria Cosway, giving him the experience of an attachment, in the European manner to a highly sophisticated woman having advanced ideas about love and marriage. When Jefferson's daughter, Polly, arrives in Paris, accompanied by her nurse, Sally Hemings, he finds himself attracted to the slave girl. When Jefferson decides to return home, he offers Sally and her brother their freedom if they will join him-Sally is already pregnant with his child-and they consent. Released on March 31, 1995, in New York and Los Angeles; general release on April 7, 1995. Directed by James Ivory. 142 min. A Touchstone Picture. Stars Nick Nolte (Thomas Jefferson), Greta Scacchi (Maria Cosway), Lambert Wilson (Lafayette), Simon Callow (Richard Cosway), Seth Gilliam (James Hemings), James Earl Jones (Madison Hemings), Thandie Newton (Sally Hemings), Estelle Eonnet (Polly). The movie was produced by the prestigious Merchant-Ivory filmmaking team and was filmed on location in France, garnering special permission to shoot at Versailles, at the Chateau of Chantilly, and at many other historic sites in the country. Released on video in 1995."
1001,"Jerky Boys, The",a-to-z/jerky-boys-the-film/,"A pair of young men from Queens, New York, create outrageous characters with their voices when they make phone calls to the unwary, but they get in trouble both with the law and the mob. Released on February 3, 1995. Directed by James Melkonian. A Touchstone film in association with Caravan Pictures. 82 min. Stars John G. Brennan (Johnny B.), Kamal Ahmed (Kamal), Alan Arkin (Lazarro), Brad Sullivan (Worzic), William Hickey (Uncle Freddy). Filmed in New York City. Released on video in 1995."
1002,"Jiminy Cricket, P.S. (Problem Solver)",a-to-z/jiminy-cricket-p-s-problem-solver-film/,Educational film; released in September 1983. The film uses clips from Disney cartoons to introduce children to logic and critical thinking.
1003,Jing Hua,a-to-z/jing-hua-film/,"Animated short film; premiered January 24, 2020, on Disney+. A grieving martial artist pays tribute to her recently departed teacher by creating a painted world using a magical form of kung fu. Directed by Jerry Huynh. 2 min. From the Walt Disney Animation Studios Short Circuit program. See also Short Circuit."
1004,John Carter,a-to-z/john-carter-film/,"A war-weary, former Civil War captain, John Carter, is accidentally transported to the planet of Barsoom (Mars) where he is befriended by Tars Tarkas, the leader of the Tharks, tall, green, four-armed creatures. He soon becomes reluctantly embroiled in a conflict among other inhabitants of the planet, with Zodanga fighter, Sab Than, aided by shape-shifting Therns, battling the peaceful community of Helium and attempting to marry their princess, Dejah Thoris, against her wishes. On the mysterious and exotic planet, Carter soon finds his strength and jumping abilities greatly amplified. In a world on the brink of collapse, he rediscovers his humanity when he realizes that the survival of Barsoom and its people rests in his hands. Directed by Andrew Stanton. Stars Taylor Kitsch (John Carter), Lynn Collins (Dejah Thoris), Willem Dafoe (Tars Tarkas), Samantha Morton (Sola), Dominic West (Sab Than), Polly Walker (Sarkoja), Ciaran Hinds (Tardos Mors). Based on the Edgar Rice Burroughs novel, A Princess of Mars. Released March 9, 2012 in Disney Digital 3D and IMAX. This is the first live-action film directed by Pixar director Andrew Stanton. Filmed in CinemaScope. The film was a disappointment at the box office, leading to a huge write-off."
1005,John Henry,a-to-z/john-henry-film/,"A short cartoon telling the story of the legendary African American folk hero, who pitted his strength against that of a machine, and won the contest. The story is told from the point of view of John's wife, Polly. Directed by Mark Henn. Released in Los Angeles for Academy Award consideration on October 30, 2000. Voices include Geoffrey Jones (John Henry), Alfre Woodard (Polly speaking), Carrie Harrington (Polly singing), Tim Hodge (MacTavish), David Murray (Thomas). 9 min. The cartoon was completely made by Disney's Feature Animation Studio in Florida. The Grammy Award-winning ensemble, Sounds of Blackness, provided the music. Released on video in 2002."
1006,John Muir: Father of Our National Parks,a-to-z/john-muir-father-of-our-national-parks-film/,Educational film produced by Anthony Corso; released in September 1973. Dramatization of Muir's struggle to preserve our scenic wonders.
1007,Johnny Appleseed,a-to-z/johnny-appleseed-film/,"Segment of Melody Time, with Dennis Day telling the story of the young man who planted apple trees throughout the west. Re-released as a short on December 25, 1955. 19 min. Released for schools as Legend of Johnny Appleseed."
1008,Johnny Fedora and Alice Bluebonnet,a-to-z/johnny-fedora-and-alice-bluebonnet-film/,"Segment of Make Mine Music, sung by the Andrews Sisters, about the romance between a boy and girl hat. Re-released as a short on May 21, 1954. The title card on the film uses a variant spelling-Johnnie-though Johnny is more commonly used, including on the one-sheet poster and sheet music. Blue Bonnet has occasionally been spelled as two words."
1009,Johnny Tremain,a-to-z/johnny-tremain-film/,"Johnny, through an injury to his hand in a silversmith's shop, gains new insight into himself and those around him as he is plunged into exciting events leading up to the Boston Tea Party at the outbreak of the American Revolution. Released on June 19, 1957. The first Disney feature directed by Robert Stevenson, who would go on to be one of the major Disney directors in the 1960s and 1970s. 80 min. Stars Hal Stalmaster (Johnny Tremain), Luana Patten (Cilla Lapham), Dick Beymer (Rab Silsbee), Jeff York (James Otis), Sebastian Cabot (Jonathan Lyte). Sharon Disney has a small part in the film. Features the song ""The Liberty Tree"" by George Bruns and Tom Blackburn. The film was originally meant as programming for the Disney television series, but when production costs mounted, Walt decided to release it as a feature film. It aired on television the following year in two parts entitled The Boston Tea Party and The Shot Heard 'Round the World. Released on video in 1983."
1010,Jonas Brothers: The 3D Concert Experience,a-to-z/jonas-brothers-the-3d-concert-experience-film/,"A documentary blending excerpts from the Brothers' 2008 ""Burning Up"" concert tour with guest performances, exclusive behind-the-scenes footage, new songs, and swarming fans. Directed by Bruce Hendricks in Disney Digital 3-D. Released on February 27, 2009. Stars Kevin Jonas, Joe Jonas, Nick Jonas, with guest performances by Demi Lovato and Taylor Swift. 76 min. The main concert was filmed at the Honda Center in Anaheim, California, with additional filming at Madison Square Garden and other sites in New York City."
1011,Jose Come Bien,a-to-z/jos%c3%a9-come-bien-film/,"Portuguese Reading Film #2. Produced under the auspices of the Coordinator of Inter-American Affairs. Delivered on March 14, 1945."
1012,"Journey of Natty Gann, The",a-to-z/journey-of-natty-gann-the-film/,"During the mid-1930s, the father of 14-year-old Natty has to leave Chicago suddenly to find lumbering work in Washington State. She sets off alone to follow him across the country. She hops trains, befriends a wolf and a teenage drifter, and after a series of adventures is reunited with her father. Released on September 27, 1985. Directed by Jeremy Kagan. 101 min. Stars Meredith Salenger (Natty Gann), John Cusack (Harry), Ray Wise (Sol Gann), Barry Miller (Parker), Scatman Crothers (Sherman), Lainie Kazan (Connie), Verna Bloom (Farm woman), Bruce M. Fischer (Charlie Linfield). Production designer Paul Sylbert was called upon to create a vintage Chicago street scene complete with pushcart vendors, a Hooverville consisting of 60 shacks, and an authentic period logging camp. The film's emphasis on authenticity extended to the activities of the lumber camp. Ray Wise, playing Natty's father, learned how to top trees with a big ax as it was actually done 50 years ago. For some scenes he had to climb 40-foot-high trees. The local experts recognized his talents and at the completion of shooting awarded him a handmade throwing ax and target. Salenger performed most of her own stunts. The ""wolf"" Natty encounters in the film was a wolf/malamute mix named Jed, who, with the application of some water-based makeup, looked the part. Costume designer Albert Wolsky also relied heavily on photographic research in creating the wardrobe. In all, Wolsky came up with nearly 2,000 costumes for the film, including some scenes with more than 250 extras. Hats were frequently used to disguise the 1980s-style coiffures. The film was nominated for an Academy Award for Best Costume Design. Released on video in 1986."
1013,"Joy Luck Club, The",a-to-z/joy-luck-club-the-film/,"The lives of three generations of Chinese women are interwoven in this story of mothers and daughters attempting to break through the barriers that often stand in the way of understanding each other. Four mothers, born in China, now Americans, have met weekly for 30 years to pay mah-jongg and have named themselves the Joy Luck Club. At the most recent meeting, June, the daughter of Suyuan, who has died, is inducted into the group. Playing with her ""aunties, "" June learns much about them, her culture, and herself. The lives of each of the mothers in China are chronicled as well as the lives of their American daughters. June discovers her mother's secret of having abandoned twin daughters in wartime China, and she is able to realize her mother's greatest dream by going to China herself and reuniting the family. Released on September 8, 1993. Directed by Wayne Wang. A Hollywood Picture. Based on the best-selling book by Amy Tan. 139 min. Stars Kieu Chinh (Suyuan), Tsai Chin (Lindo), Lisa Lu (An Mei), France Nuyen (Ying Ying), Rosalind Chao (Rose), Lauren Tom (Lena), Tamlyn Tomita (Waverly), Ming-Na Wen (June). Filmed on location in the San Francisco area, with interiors in a former chocolate factory in Richmond, as well as a six-week location shoot in China. Released on video in 1994."
1014,Judge Dredd,a-to-z/judge-dredd-film/,"In the 22nd century, Mega-City One has become a haven for millions of people from the surrounding towns and rural areas destroyed by war and ecological disaster. Thrown together and confined in cramped, overcrowded monolithic apartment buildings, with no hope of employment or a better future, they strike out at each other, rocking the city with rioting and unrest. Since regular law enforcement cannot maintain order amidst such monumental chaoe, Judge Dredd is created as part of a top secret DNA experiment, the Janus Project. In his mind are all the great minds of jurisprudence, and he is a one-man police force, judge, jury, and executioner. But part of the project went askew, creating a master criminal, Rico, as evil as Judge Dredd is just. Judge Dredd has to battle both against the powers of evil and for his own soul. A Hollywood Pictures film, in association with Cinergi Productions. Directed by Danny Cannon. Released on June 30, 1995. Stars Sylvester Stallone (Judge Dredd), Armand Assante (Rico), Diane Lane (Judge Hershey), Rob Schneider (Fergie), Joan Chen (Ilsa), Jurgen Prochnow (Judge Griffin), Max Von Sydow (Judge Fargo), Balthazar Getty (Olmeyer). 96 min. Filmed in CinemaScope in Iceland and at England's Shepperton Studios. Based on the English science-fiction comic hero created by writer John Wagner and artist Carlos Ezquerra. Released on video in 1995."
1015,Jungle 2 Jungle,a-to-z/jungle-2-jungle-film/,"Successful commodities trader Michael Cromwell is engaged to marry Charlotte, but first he must finalize his divorce from his estranged wife, Dr. Patricia Cromwell. Leaving everything behind, including his hyperactive business partner, Richard, Michael travels deep into the Amazon jungle, where Patricia has been living since she left him, and gets the surprise of his life when he discovers that he has a 13-year-old son, Mimi-Siku, who has been raised among tribesmen. Michael inadvertently agrees to take Mimi to visit his own jungle-New York City. Cultures collide when the boy, who has more skill with blow darts than with social graces, comes to the most sophisticated city on the planet and wreaks havoc on his father's life. Meanwhile, Richard has bungled a coffee trade on the commodities market, and soon a group of sinister Russians is coming after Richard and Michael. Eventually, the Russians are outsmarted, and Michael and Mimi learn some unexpected lessons from each other about the important things in life. Directed by John Pasquin. Released on March 7, 1997. Stars Tim Allen (Michael Cromwell), Jobeth Williams (Dr. Patricia Cromwell), Martin Short (Richard), Sam Huntington (Mimi-Siku), Lolita Davidovich (Charlotte), David Ogden Stiers (Jovanovic). 105 min. A remake of the French film Un indien dans la ville, released by Buena Vista in 1996 in a dubbed version as Little Indian, Big City. For the jungle setting, the film's producers selected a remote area near Canaima, Venezuela, experiencing all sorts of problems trying to make a film in a rain forest. In New York, sequences were filmed throughout the city, and in suburban Pound Ridge and the Playland amusement park in Rye. Released on video in 1997."
1016,"Jungle Book 2, The",a-to-z/jungle-book-2-the-film/,"Mowgli now lives in the man village, and he loves his new family and friends, especially his feisty little stepbrother Ranjan and his best pal Shanti, the girl who initially wooed Mowgli from the jungle. But Mowgli misses his buddy Baloo, who likewise pines for his little man-cub. Baloo isn't the only one hoping to see Mowgli again soon-Shere Khan impatiently awaits his revenge. When Mowgli sneaks away to the jungle, the chase is on to see who will find Mowgli first-his old pals, his new family, or the man-eating tiger. Released on February 14, 2003, after earlier releases on February 5 in France and February 7 in Sweden. From DisneyToon Studios. Directed by Steve Trenbirth. Voices include John Goodman (Baloo), Haley Joel Osment (Mowgli), Mae Whitman (Shanti), Tony Jay (Shere Khan), Bob Joles (Bagheera), John Rhys-Davies (Ranjan's father), Phil Collins (Lucky), Connor Funk (Ranjan), Jim Cummings (Kaa/Colonel Hathi/M.C. Monkey). 72 min. Released on video in 2003."
1017,"Jungle Book, Rudyard Kipling's The",a-to-z/jungle-book-rudyard-kiplings-the-film/,"Mowgli, a young man raised since childhood by wild animals in the jungles of India, is eventually drawn from the jungle by his attraction to the beautiful Kitty, daughter of Major Brydon, an important English military official. Mowgli's life changes as he reenters civilization. When an avaricious military officer, Capt. Boone, forces Mowgli to reveal the jungle's hidden treasures, Mowgli has to rely on his loyal animal friends-Grey Brother (a wolf), Baloo, and Bagheera-to survive the perilous ordeal and reunite with Kitty. Released on December 25, 1994. Directed by Stephen Sommers. Filmed in CinemaScope. 111 min. Stars Jason Scott Lee (Mowgli), Cary Elwes (Boone), Lena Headey (Kitty), Sam Neill (Col. Brydon), John Cleese (Dr. Plumford). The Kipling story had been filmed as a live-action motion picture by Alexander Korda in 1942 with Sabu as Mowgli, and as an animated film by Disney in 1967. For this production, interiors were filmed at the Mehboob Studios in Bombay, India, with jungle locations in Jodhpur. Because of the problems of shipping trained animals to India, additional ""jungle"" sets were created in Tennessee and on Fripp Island, South Carolina. The production had the largest group of trained animals-52 tigers, leopards, wolves, bears, elephants, horses, Brahma bulls, and monkeys-that had been assembled for any film since Doctor Doolittle. Released on video in 1995."
1018,"Jungle Book, The",a-to-z/jungle-book-the-film/,"A human boy, Mowgli, is raised in the jungle by wolves until it is deemed unsafe for him to stay because of Shere Khan, the tiger, who has vowed to kill the mancub. Bagheera, the panther, is selected to accompany Mowgli on his journey back to civilization, but has a difficult time because the boy does not want to leave. Meeting Baloo the bear, a lovable ""jungle bum, "" Mowgli is even more certain he wants to stay with his friends. But after an encounter with the mad King Louie of the Apes, and pressed to return to the man village by Baloo and Bagheera, Mowgli runs away. Alone in the jungle, he meets Shere Khan, but only after the last-minute intervention of his friends does he manage to defeat the tiger. Soon after, he meets a young girl from the man village and willingly returns to civilization. Released on October 18, 1967. Directed by Wolfgang Reitherman. Rudyard Kipling's classic tale of the jungle was the last animated feature Walt Disney supervised. 78 min. Featuring the voices of Phil Harris (Baloo), Sebastian Cabot (Bagheera), Louis Prima (King Louie), George Sanders (Shere Khan), Sterling Holloway (Kaa), J. Pat O'Malley (Buzzie), and Bruce Reitherman (Mowgli), the film became one of Disney's all-time box-office winners. Richard M. Sherman and Robert B. Sherman wrote the songs, which include ""I Wanna Be Like You,"" ""Trust in Me,"" ""My Own Home,"" ""That's What Friends Are For, "" and ""Colonel Hathi's March,"" and Terry Gilkyson provided the Oscar-nominated ""Bare Necessities."" It was re-released in theaters in 1978, 1984, and 1990. Released on video in 1991 and 1997. A live-action version of the story was released in 1994."
1019,"Jungle Book, The",a-to-z/jungle-book-the-film-2/,"Live-action film, based on the Rudyard Kipling stories and inspired by the 1967 animated feature. Mowgli, a man-cub, has been raised by a family of wolves, but he finds he is no longer welcome in the jungle when fearsome tiger Shere Khan, who bears the scars of Man, promises to eliminate what he sees as a threat. Urged to abandon the only home he has ever known, Mowgli embarks on a journey of self-discovery, guided by panther-turned-stern mentor Bagheera and the free-spirited bear Baloo. Along the way, Mowgli encounters jungle creatures who do not exactly have his best interests at heart, including Kaa, a python, and the smooth-talking King Louie. Directed by Jon Favreau. Released on April 15, 2016, also in 3D and 3D IMAX. Stars Neel Sethi (Mowgli). Voices include Idris Elba (Shere Khan), Ben Kingsley (Bagheera), Bill Murray (Baloo), Scarlett Johansson (Kaa), Christopher Walken (King Louie), Lupita Nyong'o (Raksha), Giancarlo Esposito (Akela). Live-action is blended with photorealistic CGI animals and environments, using up-to-the-minute technology to immerse audiences in an enchanting and lush world. It won an Academy Award for Best Visual Effects (Robert Legato, Adam Valdez, Andrew R. Jones, Dan Lemmon)."
1020,"Jungle Book, The: A Lesson in Accepting Change",a-to-z/jungle-book-the-a-lesson-in-accepting-change-film/,"Educational film; released in September 1981. How change, in friends and environment, can be faced."
1021,"Jungle Book, The: Mowgli's Story",a-to-z/jungle-book-the-mowglis-story-film/,"Direct-to-video release on September 29, 1998, of a live-action sequel to the 1967 animated feature. The narrator, the adult Mowgli, reflects of his childhood jungle adventures, from his being raised by wolves to his friendship with Baloo. He has to learn to be cunning and brave against the jungle's most fearsome animal, the menacing and vengeful tiger, Shere Khan. Directed by Nick Marck. Stars Brandon Baker (Mowgli), and the voices of Fred Savage (narrator), Eartha Kitt (Bagheera), Bryan Doyle-Murray (Baloo). 93 min."
1022,Jungle Cat,a-to-z/jungle-cat-film/,"True-Life Adventure feature; initial release on December 16, 1959; general release on August 10, 1960. Directed by James Algar. The last of the True-Life Adventure series, Winston Hibler narrates the story of the South American jaguar. After a background is given on the cat's history, the daily life of the jaguar is shown. Two jaguars mate, teach their kittens, hunt, and fight their worst enemies, the crocodile and huge boa constrictor who are after their kittens. The setting of the film is the vivid jungle and its inhabitants, with a striking finale of a sunset on the Amazon River. Animals depicted include giant anteaters, jungle otters, iguana, tapir, sloth, and monkeys. Three top naturalist-photographers spent over two years in the Amazon basin of Brazil filming this superbly photographed documentary. 70 min. Released on video in 1986."
1023,Jungle Cat of the Amazon,a-to-z/jungle-cat-of-the-amazon-film/,"Segment from Jungle Cat, released on 16mm for schools in December 1974. Shows the jaguar hunting and teaching its cubs the laws of survival."
1024,Jungle Rhythm,a-to-z/jungle-rhythm-film/,"Mickey Mouse cartoon; released in 1929. Directed by Walt Disney. With his natural musical flair, Mickey soon has some fierce animals dancing and cavorting through the jungle."
1025,Just A Thought,a-to-z/just-a-thought-film/,"Animated short film; premiered Jan. 24, 2020, on Disney+. Ollie, an awkward 12-year-old boy, experiences ""bubble trouble"" when his true feelings for a girl are embarrassingly revealed in the form of a physical thought bubble. Directed by Brian Menz. 3 min. From the Walt Disney Animation Studios Short Circuit program. See also Short Circuit."
1026,Just Dogs,a-to-z/just-dogs-film/,"Silly Symphony cartoon; released on July 30, 1932. Directed by Burt Gillett. In an effort to befriend a large mongrel, a little puppy releases all of the dogs in the pound. When the pup finds a bone to share with his unfriendly companion, a free-for-all ensues in which the pup outwits the entire troupe of hungry dogs and finally earns the large dog's friendship."
